Description,Price,Stars,Reviews,Url
2-in-1 Portable Lint Remover – Long-Handle Brush &...,Rs. 34.00,3.97,35 reviews,https://deodap.in/products/portable-lint-remover-long-handle-brush-roller
Manual Red & Black Knife Sharpener 3 Stage...,Rs. 57.00,4.53,32 reviews,https://deodap.in/products/2051-red-black-knife-sharpener-3-stage-sharpening-tool
Digital LCD Alarm Clock with Backlight (1 Pc),Rs. 192.00,4.57,49 reviews,https://deodap.in/products/digital-lcd-alarm-clock-with-backlight-1-pc
3 in 1 point Function Stylus Pen with...,Rs. 10.45,4.21,28 reviews,https://deodap.in/products/3-in-1-ballpoint-stylus-pen
Door Seal Twin Draught Draft Guard,Rs. 23.00,4.72,25 reviews,https://deodap.in/products/0588-door-seal-twin-draught-draft-guard
"3 in 1 Reusable Spoon, Knife Forks Tableware,...",Rs. 15.00,4.18,22 reviews,https://deodap.in/products/10319_3in1_pla_reusable_spoon_set
"Car Blind Spot Mirror – HD Glass, Convex...",Rs. 33.00,4.29,24 reviews,https://deodap.in/products/convex-glass-blindspot-mirror
ADJUSTABLE FOLDING SHOE SLOTS ORGANIZER.,Rs. 30.00,4.48,31 reviews,https://deodap.in/products/7277-adjustable-folding-shoe-slots-organizer
Multipurpose Heavy Duty Small Dori Bag (1 Pc),Rs. 15.00,4.52,40 reviews,https://deodap.in/products/18549_small_dori_bag_1pc
2 in 1 Wireless Vacuum Cleaner – 120W...,Rs. 198.00,4.41,27 reviews,https://deodap.in/products/7370-vacuum-cleaner-usb-rechargeable-portable
Portable Immersion Water Heater Rod - (1 Pc),Rs. 41.00,4.30,10 reviews,https://deodap.in/products/portable-immersion-water-heater-rod-1-pc
Tyre Valve Caps Luminous Glow Car Tire Air...,Rs. 15.00,4.30,30 reviews,https://deodap.in/products/tyre-valve-caps-luminous-glow-car-tire-air-stem-valve-cap-covers-vaal-cap-4-pcs-mix-colour
2-in-1 Silicone Soft Bristle Bath Brush,Rs. 29.00,4.60,15 reviews,https://deodap.in/products/2-in-1-silicone-soft-bristle-bath-brush
"FOLDABLE STORAGE BOX HANDLES, COTTON AND LINEN STORAGE...",Rs. 133.00,4.74,23 reviews,https://deodap.in/products/12627-foldable-storage-box-withhandles-cotton-and-linen-storage-bins-and-baskets-organizer-for-nursery-closet-bedroom-home-45-cm
Mini Steamer & Iron: 2-in-1 Portable Travel Friendly,Rs. 273.00,4.64,33 reviews,https://deodap.in/products/mini-steam-iron-handheld-garment-steamer
7 in 1 Electronic Cleaner kit,Rs. 82.00,4.74,38 reviews,https://deodap.in/products/7-in-1-electronic-cleaner-kit
"Mini Bag Sealer, 2 in 1 Seal &...",Rs. 87.00,4.36,33 reviews,https://deodap.in/products/mini-bag-sealer-2-in-1-seal-cutter-heat-sealers
Solar Wall Lamp – Wireless Outdoor Light with...,Rs. 134.00,4.82,40 reviews,https://deodap.in/products/12564-solar-wall-lights-lamp-outdoor-wireless-dusk-to-dawn-porch-lights-fixture-solar-wall-lantern-with-3-modes-motion-sensor-waterproof-exterior-lighting-with-clear-panel-1-pc
"Squeeze Twist Mop Self Wringing Mop, Stainless Steel...",Rs. 175.00,4.77,57 reviews,https://deodap.in/products/squeeze-twist-mop-self-wringing-mop-for-hardwood-floor-cleaning-telescopic-stainless-steel-handle
"3 in 1 Mini Car Vacuum – Wireless,...",Rs. 205.00,4.56,39 reviews,https://deodap.in/products/7394-3-in-1-car-mini-vacuum-cleaner-with-blower-wireless-portable-rechargeable-handheld-high-power-suction-vacuum-cleaning-machine-for-home-car-computer-keyboard-cordless-air-blowing-dusting
"Cushion Seat Flex Pillow, Gel Orthopedic Seat Cushion...",Rs. 253.00,4.44,27 reviews,https://deodap.in/products/0219-cushion-seat-flex-pillow-gel-orthopedic-seat-cushion-pad-egg-sitter
"Microfiber Dusters for Cleaning, Telescoping Feather Dust...",Rs. 118.00,4.42,52 reviews,https://deodap.in/products/microfiber-dusters-for-cleaning-telescoping-feather-duster-with-100-inches-extendable-handle-pole-dusting-cleaning-tools-for-cleaning-high-ceiling-ceiling-fan-blinds-cobwebs-furniture-cars-001
Cube Tulip Night Lamp | Led Decorative Nights...,Rs. 135.00,4.32,31 reviews,https://deodap.in/products/tulip-night-lamp-for-bedroom
Premium Velvet Travel Jewelry Organizer Box – Compact...,Rs. 88.00,4.00,10 reviews,https://deodap.in/products/premium-velvet-travel-jewelry-organizer-box-for-women-and-girls-compact-portable-storage-case-with-compartments-for-rings-earrings-necklaces-and-bracelets-elegant-pu-leather-gift-box-blush-pink
Solar Lights for Garden LED Security Lamp for...,Rs. 160.00,4.66,32 reviews,https://deodap.in/products/solar-lights-for-garden
"Car Duster, Long Retractable / Soft / Non-Slip...",Rs. 117.00,4.63,52 reviews,https://deodap.in/products/4749_car_cleaning_duster
Anti-Fog & Anti-Scratch Rearview Car Mirror Film –...,Rs. 24.00,4.70,30 reviews,https://deodap.in/products/anti-fog-anti-scratch-rearview-car-mirror-film-hd-clear-protective-sticker-for-safe-driving-1-pc
Transparent Waterproof Glue 300g Without Brush (1 pc),Rs. 62.00,4.38,37 reviews,https://deodap.in/products/18114_waterproof_glue_300gm
Mini Car Interior Cleaning Soft Brush -Car Cleaning...,Rs. 38.00,4.34,47 reviews,https://deodap.in/products/15066_car_dust_removal_brushe_1pc
Mini Rechargeable Keychain Flashlight - 4 Light Modes...,Rs. 79.00,4.71,35 reviews,https://deodap.in/products/rechargeable-keychain-mini-flashlight-with-4-light-modes-ultralight-portable-pocket-light-with-folding-bracket-bottle-opener-and-magnet-base-for-camping-walking-1
4 Meter Festival Decoration LED String Light in...,Rs. 39.00,4.67,48 reviews,https://deodap.in/products/4-meter-festival-decoration-led-string-light-in-multicolor
Bottle Cleaning Brush usual fully types of household...,Rs. 15.75,4.34,38 reviews,https://deodap.in/products/6151a
Velvet Electric Pain Relief Heating Bag,Rs. 93.00,4.68,28 reviews,https://deodap.in/products/velvet-electric-pain-relief-heating-bag
Silicone Body Back Scrubber Double Side Bathing Brush...,Rs. 28.50,4.50,2 reviews,https://deodap.in/products/7275-silicone-body-back-scrubber-double-side-bathing-brush-for-skin-deep-cleaning-scrubber-belt
Sharp Steel Battery-Operated Ear and Nose Hair Trimmer,Rs. 69.00,4.58,33 reviews,https://deodap.in/products/6003-ear-and-nose-hair-trimmer
Face Changing Doll Toy with Keyring (1 Pc...,Rs. 51.00,4.56,50 reviews,https://deodap.in/products/face-changing-doll-toy-with-keyring
Capsule Shape Multipurpose Travel Storage Bottle,Rs. 20.00,4.54,26 reviews,https://deodap.in/products/1361-multipurpose-capsule-shape-portable-travel-storage-bottle-set-of-3-piece
3D VR Box Glasses Virtual Reality Goggles Headset...,Rs. 119.00,4.63,27 reviews,https://deodap.in/products/12838_3d_vr_box_1pc
Electric Handheld Milk Wand Mixer Frother For Latte...,Rs. 49.00,4.43,21 reviews,https://deodap.in/products/0849-electric-handheld-milk-wand-mixer-frother-for-latte-coffee-hot-milk
"Premium Microfiber Cleaning Cloth, Towel (40x30 cm /...",Rs. 27.00,4.97,30 reviews,https://deodap.in/products/premium-microfiber-cleaning-cloth-towel-40x30-cm-1-pc
Plastic 2 in 1 Oil Dispenser Bottle with...,Rs. 48.00,4.08,24 reviews,https://deodap.in/products/10107_2in1_oil_dispenser_bottle_n_brush
Anti-Slip Oval Bathroom Mat for Floor | Waterproof...,Rs. 78.00,3.86,7 reviews,https://deodap.in/products/anti-slip-oval-bathroom-mat-for-floor-waterproof-quick-dry-soft-rubber-mat-printed-bathroom-design-modern-anti-skid-floor-mat-for-bathroom-bathtub-toilet-blue
Quick Turban Hair-Drying Absorbent Microfiber Towel / Dry...,Rs. 52.00,4.07,30 reviews,https://deodap.in/products/1408-quick-turban-hair-drying-absorbent-microfiber-towel-dry-shower-caps
Garden Tool Kit Durable Hand Tools Set with...,Rs. 46.00,4.80,20 reviews,https://deodap.in/products/garden-tool-kit-durable-hand-tools-set-with-wooden-handle-3-pc
Deer Head Self Adhesive Wall Door Hook Hanger,Rs. 31.00,4.70,43 reviews,https://deodap.in/products/1743-deer-head-self-adhesive-wall-door-hook-hanger
Adjustable Trouser Pants Hanger Organizer,Rs. 75.00,4.26,27 reviews,https://deodap.in/products/4660-adjustable-trouser-pants-hanger-organizer
Fun and Educational Coloring Roll (1 Pc),Rs. 85.00,4.53,47 reviews,https://deodap.in/products/fun-and-educational-coloring-roll-1-pc
Comfortable Inflating Travel Pillow (34×21 Cm / 1...,Rs. 45.00,4.75,20 reviews,https://deodap.in/products/comfortable-inflating-travel-pillow-34-21-cm-1-pc-mix-color
